,precision,recall,f1-score,support
0,1.0,1.0,1.0,2.0
1,0.6666666666666666,1.0,0.8,2.0
2,1.0,1.0,1.0,2.0
3,1.0,1.0,1.0,2.0
4,1.0,1.0,1.0,2.0
5,1.0,0.5,0.6666666666666666,2.0
6,1.0,0.5,0.6666666666666666,2.0
7,1.0,1.0,1.0,2.0
8,1.0,1.0,1.0,2.0
9,0.4,1.0,0.5714285714285714,2.0
10,1.0,1.0,1.0,2.0
11,0.6666666666666666,1.0,0.8,2.0
12,0.0,0.0,0.0,2.0
13,1.0,1.0,1.0,2.0
14,0.6666666666666666,1.0,0.8,2.0
15,0.6666666666666666,1.0,0.8,2.0
16,1.0,1.0,1.0,2.0
17,1.0,1.0,1.0,2.0
18,1.0,1.0,1.0,2.0
19,1.0,1.0,1.0,2.0
20,1.0,1.0,1.0,2.0
21,1.0,1.0,1.0,2.0
22,1.0,1.0,1.0,2.0
23,1.0,1.0,1.0,2.0
24,1.0,0.5,0.6666666666666666,2.0
25,1.0,1.0,1.0,2.0
26,1.0,1.0,1.0,2.0
27,1.0,1.0,1.0,2.0
28,0.6666666666666666,1.0,0.8,2.0
29,1.0,1.0,1.0,2.0
30,0.5,0.5,0.5,2.0
31,1.0,1.0,1.0,2.0
32,0.6666666666666666,1.0,0.8,2.0
33,1.0,1.0,1.0,2.0
34,1.0,1.0,1.0,2.0
35,1.0,1.0,1.0,2.0
36,1.0,1.0,1.0,2.0
37,0.0,0.0,0.0,2.0
38,1.0,1.0,1.0,2.0
39,1.0,0.5,0.6666666666666666,2.0
40,1.0,1.0,1.0,2.0
41,1.0,0.5,0.6666666666666666,2.0
42,0.6666666666666666,1.0,0.8,2.0
43,1.0,1.0,1.0,2.0
44,1.0,1.0,1.0,2.0
45,0.0,0.0,0.0,2.0
46,1.0,1.0,1.0,2.0
47,1.0,1.0,1.0,2.0
48,0.6666666666666666,1.0,0.8,2.0
49,1.0,1.0,1.0,2.0
50,1.0,0.5,0.6666666666666666,2.0
51,1.0,1.0,1.0,2.0
52,1.0,1.0,1.0,2.0
53,0.6666666666666666,1.0,0.8,2.0
54,1.0,1.0,1.0,2.0
55,1.0,1.0,1.0,2.0
56,1.0,1.0,1.0,2.0
57,1.0,1.0,1.0,2.0
58,1.0,1.0,1.0,2.0
59,1.0,1.0,1.0,2.0
60,1.0,1.0,1.0,2.0
61,1.0,0.5,0.6666666666666666,2.0
62,0.5,0.5,0.5,2.0
63,1.0,1.0,1.0,2.0
64,1.0,1.0,1.0,2.0
65,1.0,1.0,1.0,2.0
66,1.0,1.0,1.0,2.0
67,1.0,1.0,1.0,2.0
68,1.0,1.0,1.0,2.0
69,1.0,0.5,0.6666666666666666,2.0
70,1.0,1.0,1.0,2.0
71,1.0,1.0,1.0,2.0
72,1.0,1.0,1.0,2.0
73,1.0,1.0,1.0,2.0
74,1.0,0.5,0.6666666666666666,2.0
75,1.0,1.0,1.0,2.0
76,1.0,0.5,0.6666666666666666,2.0
77,1.0,0.5,0.6666666666666666,2.0
78,0.5,1.0,0.6666666666666666,2.0
79,1.0,1.0,1.0,2.0
80,1.0,1.0,1.0,2.0
81,1.0,1.0,1.0,2.0
82,0.6666666666666666,1.0,0.8,2.0
83,1.0,0.5,0.6666666666666666,2.0
84,1.0,1.0,1.0,2.0
85,1.0,1.0,1.0,2.0
86,1.0,1.0,1.0,2.0
87,1.0,1.0,1.0,2.0
88,0.5,1.0,0.6666666666666666,2.0
89,1.0,0.5,0.6666666666666666,2.0
90,0.6666666666666666,1.0,0.8,2.0
91,1.0,1.0,1.0,2.0
92,0.6666666666666666,1.0,0.8,2.0
93,1.0,1.0,1.0,2.0
94,1.0,1.0,1.0,2.0
95,1.0,1.0,1.0,2.0
96,1.0,1.0,1.0,2.0
97,1.0,1.0,1.0,2.0
98,0.6666666666666666,1.0,0.8,2.0
99,1.0,1.0,1.0,2.0
100,1.0,1.0,1.0,2.0
101,1.0,0.5,0.6666666666666666,2.0
102,1.0,0.5,0.6666666666666666,2.0
103,1.0,1.0,1.0,2.0
104,1.0,1.0,1.0,2.0
105,1.0,1.0,1.0,2.0
106,1.0,1.0,1.0,2.0
107,1.0,1.0,1.0,2.0
108,1.0,1.0,1.0,2.0
109,1.0,1.0,1.0,2.0
110,1.0,1.0,1.0,2.0
111,0.5,0.5,0.5,2.0
112,0.5,0.5,0.5,2.0
113,1.0,0.5,0.6666666666666666,2.0
114,1.0,1.0,1.0,2.0
115,1.0,1.0,1.0,2.0
116,1.0,0.5,0.6666666666666666,2.0
117,0.6666666666666666,1.0,0.8,2.0
118,0.6666666666666666,1.0,0.8,2.0
119,1.0,1.0,1.0,2.0
120,1.0,0.5,0.6666666666666666,2.0
121,0.0,0.0,0.0,2.0
122,1.0,1.0,1.0,2.0
123,1.0,1.0,1.0,2.0
124,1.0,1.0,1.0,2.0
125,1.0,0.5,0.6666666666666666,2.0
126,1.0,1.0,1.0,2.0
127,1.0,1.0,1.0,2.0
128,1.0,1.0,1.0,2.0
129,1.0,0.5,0.6666666666666666,2.0
130,1.0,1.0,1.0,2.0
131,1.0,1.0,1.0,2.0
132,1.0,1.0,1.0,2.0
133,1.0,1.0,1.0,2.0
134,0.6666666666666666,1.0,0.8,2.0
135,1.0,1.0,1.0,2.0
136,1.0,1.0,1.0,2.0
137,1.0,1.0,1.0,2.0
138,1.0,1.0,1.0,2.0
139,1.0,1.0,1.0,2.0
140,1.0,1.0,1.0,2.0
141,1.0,1.0,1.0,2.0
142,0.6666666666666666,1.0,0.8,2.0
